isin,company_name,org_perm_id,tax_id,hq_country,orgnr,method
SE0007185418,Nobina AB,4296849849.0,SE556576456901,SE,5565764569.0,lseg_taxid
SE0007185681,Capio AB (publ),4295890165.0,SE556706444801,SE,5567064448.0,lseg_taxid
SE0007192018,VEF Ltd,5045949777.0,,BM,50298,manual
SE0007277876,Wise Group AB,4297853907.0,SE556686357601,SE,5566863576.0,lseg_taxid
SE0007278841,Tornskogens fastighetsforvaltning i Solna AB,4298316778.0,SE556669415301,SE,5566694153.0,lseg_taxid
SE0007278965,,,,,,none
SE0007306162,,,,,556064-8304,manual
SE0007306188,,,,,556984-0910,manual
SE0007331608,,,,,556158-1041,manual
SE0007439112,,,,,556882-8908,manual
SE0007464888,Karo Healthcare AB,4295890114.0,SE556309335901,SE,5563093359.0,lseg_taxid
SE0007491105,Nordic Mines AB (publ),4298015258.0,SE556679121501,SE,5566791215.0,lseg_taxid
SE0007491303,Bravida Holding AB,5040035573.0,SE556891539001,SE,5568915390.0,lseg_taxid
SE0007526132,Genova Property Group AB,5047820438.0,,SE,556864-8116,manual
SE0007577895,Vicore Pharma Holding AB,5035429047.0,SE556680380401,SE,5566803804.0,lseg_taxid
SE0007578026,Fastator AB (publ),5035521205.0,SE556678664501,SE,5566786645.0,lseg_taxid
SE0007603493,,,,,5560125790,manual
SE0007640156,Scandic Hotels Group AB,5042957431.0,SE556703170201,SE,5567031702.0,lseg_taxid
SE0007665823,Resurs Holding AB (publ),4297847546.0,SE556898229101,SE,5568982291.0,lseg_taxid
SE0007666110,Attendo AB (publ),5047747863.0,SE559026788501,SE,5590267885.0,lseg_taxid
SE0007691613,Dometic Group AB (publ),5034845523.0,SE556829439001,SE,5568294390.0,lseg_taxid
SE0007692850,Camurus AB,5035523580.0,SE556667910501,SE,5566679105.0,lseg_taxid
SE0007704788,,,,,5556721604,manual
SE0007730650,Nuevolution AB,5047645474.0,SE559026430401,DK,5590264304.0,lseg_taxid
SE0007789409,,,,,556749-2375,manual
SE0007871363,Vitec Software Group AB (publ),4295889798.0,SE556258480401,SE,5562584804.0,lseg_taxid
SE0007871645,Kindred Group PLC,4295899099.0,,MT,,none
SE0007897079,AcadeMedia AB,5039603721.0,SE556846023101,SE,5568460231.0,lseg_taxid
SE0007982814,,,,,556995-8126,manual
SE0008008254,,,,,556484-1369,manual
SE0008008262,,,,,5560730015,manual
SE0008015259,Infant Bacterial Therapeutics AB,5040202605.0,SE556873858601,SE,5568738586.0,lseg_taxid
SE0008040653,Humana AB,4298446149.0,SE556760847501,SE,5567608475.0,lseg_taxid
SE0008041248,,,,,556870-4521,manual
SE0008091573,Bonava AB (publ),5050987278.0,SE556928038001,SE,5569280380.0,lseg_taxid
SE0008091581,Bonava AB (publ),5050987278.0,SE556928038001,SE,5569280380.0,lseg_taxid
SE0008091904,LeoVegas AB (publ),5050647780.0,SE556830403301,SE,5568304033.0,lseg_taxid
SE0008135610,HiQ International AB,4295890218.0,SE556529320501,SE,5565293205.0,lseg_taxid
SE0008212518,Enea AB,4295889892.0,SE556209714601,SE,5562097146.0,lseg_taxid
SE0008212971,,,,,556532-6443,manual
SE0008241491,SynAct Pharma AB,5051390062.0,SE559058482601,SE,5590584826.0,lseg_taxid
SE0008242002,,,,,556658-0683,manual
SE0008242358,,,,,556090-4251,manual
SE0008293674,Wilson Therapeutics AB,5037841682.0,SE556893035701,SE,5568930357.0,lseg_taxid
SE0008294334,,,,,556694-2974,manual
SE0008321202,Irras AB,5051002364.0,SE556872713401,SE,5568727134.0,lseg_taxid
SE0008321293,,,,,5556380004,manual
SE0008321608,Investment Oresund AB,4295889775.0,,SE,556063-9144,manual
SE0008321921,BE Group AB (publ),4295889910.0,SE556578472401,SE,5565784724.0,lseg_taxid
SE0008347652,Brinova Fastigheter AB (publ),5050306170.0,SE556840391801,SE,5568403918.0,lseg_taxid
SE0008347660,B3 Consulting Group AB (publ),5039660389.0,SE556606330001,SE,5566063300.0,lseg_taxid
SE0008348767,Trention AB,4295890201.0,SE556274862301,SE,5562748623.0,lseg_taxid
SE0008373898,,,,,556047-9742,manual
SE0008373906,,,,,556047-9742,manual
SE0008374250,,,,,556154-2381,manual
SE0008374383,Maha Capital AB,5051388710.0,SE559018954301,SE,5590189543.0,lseg_taxid
SE0008375117,,,,,556292-1089,manual
SE0008585525,Internationella Engelska Skolan I Sverige Holdings II AB,5052122804.0,SE556900725401,SE,5569007254.0,lseg_taxid
SE0008613970,,,,,556064-8304,manual
SE0009143662,Volati AB,4297995774.0,SE556555431701,SE,5565554317.0,lseg_taxid
SE0009143670,Volati AB,4297995774.0,SE556555431701,SE,5565554317.0,lseg_taxid
SE0009155005,Ahlsell AB (publ),5052152319.0,SE556882891601,SE,5568828916.0,lseg_taxid
SE0009160872,MedCap AB (publ),4298052321.0,SE556617145901,SE,5566171459.0,lseg_taxid
SE0009161052,Sagax AB,4295890156.0,SE556520002801,SE,5565200028.0,lseg_taxid
SE0009161185,,,,,556615-8266,manual
SE0009189657,,,,,559050-5052,manual
SE0009216278,Mips AB,4298520737.0,SE556609016201,SE,5566090162.0,lseg_taxid
SE0009241706,,,,,556792-3324,manual
SE0009242225,,,,,556931-4692,manual
SE0009268360,Edgeware AB (publ),4298520481.0,SE556691755401,SE,5566917554.0,lseg_taxid
SE0009269467,Actic Group AB,5042953846.0,SE556895340901,SE,5568953409.0,lseg_taxid
SE0009414576,Oncopeptides AB,4298493813.0,SE556596643801,SE,5565966438.0,lseg_taxid
SE0009554454,Samhallsbyggnadsbolaget I Norden AB,5044034256.0,SE556981766001,SE,5569817660.0,lseg_taxid
SE0009581051,Isofol Medical AB (publ),4298053516.0,SE556759806401,SE,5567598064.0,lseg_taxid
SE0009663511,SSM Holding AB,5040933035.0,SE556533390201,SE,5565333902.0,lseg_taxid
SE0009663826,Ambea AB (publ),5050709784.0,SE556468435401,SE,5564684354.0,lseg_taxid
SE0009664253,,,,,559015-8944,manual
SE0009696883,,,,,556529-3205,manual
SE0009697220,Enea AB,4295889892.0,SE556209714601,SE,5562097146.0,lseg_taxid
SE0009697246,,,,,556658-0683,manual
SE0009773237,,,,,556532-6443,manual
SE0009778848,Medicover AB,5055421947.0,SE559073948701,SE,5590739487.0,lseg_taxid
SE0009779796,Seafire AB (publ),4295890464.0,SE556540761501,SE,5565407615.0,lseg_taxid
