isin,company_name,org_perm_id,tax_id,hq_country,orgnr,method
SE0000122467,,,,,,none
SE0000122657,HAKI Safety AB,4295889851,SE556323253601,SE,5563232536.0,lseg_taxid
SE0000122673,HAKI Safety AB,4295889851,SE556323253601,SE,5563232536.0,lseg_taxid
SE0000123085,Ortivus AB,4295890043,SE556259120501,SE,5562591205.0,lseg_taxid
SE0000123267,Bulten Fasteners AB,4295889862,SE556010886101,SE,5560108861.0,lseg_taxid
SE0000123572,,,,,,none
SE0000123671,Rejlers AB (publ),4298015256,SE556349842601,SE,5563498426.0,lseg_taxid
SE0000135287,,,,,,none
SE0000135303,Fastighetsaktiebolaget Celtica,4295889800,SE556350972701,SE,5563509727.0,lseg_taxid
SE0000135485,RaySearch Laboratories AB (publ),4295889885,SE556322615701,SE,5563226157.0,lseg_taxid
SE0000135501,Solitair Kapital AB,4295889861,,SE,,none
SE0000141160,Asg AB,4295890319,,SE,,none
SE0000143430,Forcenergy AB,4295889907,SE556217817701,SE,5562178177.0,lseg_taxid
SE0000143521,,,,,,none
SE0000147480,Alcatel Lucent SA,4295867927,FR31542019096,FR,,none
SE0000147555,Compagnie de Saint Gobain SA,4295867362,FR35542039532,FR,,none
SE0000148884,Skandinaviska Enskilda Banken AB,8589934200,SE502032908101,SE,5020329081.0,lseg_taxid
SE0000152084,,,,,,none
SE0000162786,Nefab AB,4298447262,SE556226814301,SE,5562268143.0,lseg_taxid
SE0000163594,Securitas AB,4295890335,SE556302724101,SE,5563027241.0,lseg_taxid
SE0000163628,Elekta AB (publ),5000030355,SE556170401501,SE,5561704015.0,lseg_taxid
SE0000164477,,,,,,none
SE0000164485,Gambro AB,4295889755,,SE,5560280942.0,name_matching
SE0000164600,,,,,,none
SE0000164626,Investment Kinnevik (A) Aktie,,,,,none
SE0000166506,SinterCast AB,4295890000,SE556233649401,SE,5562336494.0,lseg_taxid
SE0000166514,SinterCast AB,4295890000,SE556233649401,SE,5562336494.0,lseg_taxid
SE0000166555,Trustor AB,4295889854,,SE,,none
SE0000168304,Luxonen SA,4295883035,,LU,,none
SE0000169070,Bayer AG,4295869217,123659859,DE,,none
SE0000169112,Marine Transport Corp,4295907066,,US,,none
SE0000169195,Evidentia Fastigheter AB (Publ),4295889817,,SE,,none
SE0000169658,International Petroleum Corp,5055417546,,CA,,none
SE0000170110,,,,,,none
SE0000170375,Hufvudstaden AB,4295890167,SE556012824001,SE,5560128240.0,lseg_taxid
SE0000170383,Hufvudstaden AB,4295890167,SE556012824001,SE,5560128240.0,lseg_taxid
SE0000170896,Linjebuss AB,4295890264,,SE,,none
SE0000171100,SSAB AB,4295889873,SE556016342901,SE,5560163429.0,lseg_taxid
SE0000171506,,,,,,none
SE0000171886,Svenska Cellulosa Aktiebolaget SCA,4295890025,SE556012629301,SE,5560126293.0,lseg_taxid
SE0000188500,Catella AB,4295890260,SE556079141901,SE,5560791419.0,lseg_taxid
SE0000188518,Catella AB,4295890260,SE556079141901,SE,5560791419.0,lseg_taxid
SE0000188930,Ortivus AB,4295890043,SE556259120501,SE,5562591205.0,lseg_taxid
SE0000189128,Narkes Elektriska AB,4295890059,,,,none
SE0000189417,Svenska Handelsbanken AB,8589934190,,SE,,none
SE0000189425,Svenska Handelsbanken AB,8589934190,,SE,,none
SE0000189433,Svenska Handelsbanken AB,8589934190,,SE,,none
SE0000189946,Industrial and Financial Systems IFS AB,4295890101,SE556122099601,SE,5561220996.0,lseg_taxid
SE0000189953,Industrial and Financial Systems IFS AB,4295890101,SE556122099601,SE,5561220996.0,lseg_taxid
