isin,orgnr,company_name,source
SE0007048020,556560-0797,Collector AB,manual
SE0011115963,559255-5149,Veoneer Inc,manual
SE0007184189,556693-7753,Genova Property Group AB,manual
SE0004390516,556866-0723,Creades AB ser. A,manual
SE0011116508,556040-8113,Beijer Ref AB ser. B,manual
SE0011527845,556729-0217,Q-Linea AB,manual
SE0002158568,556693-7404,Eastnine AB,manual
SE0000391716,556029-8654,AB Traction,manual
SE0012674232,556076-2055,XANO Industri AB ser. B,manual
SE0012455202,556615-8266,Tethys Oil AB,manual
SE0007331608,556158-1041,TF Bank AB,manual
SE0000412991,556494-3446,Proact IT Group AB,manual
SE0009994429,556678-6645,Fastator AB,manual
SE0007526132,556864-8116,Genova Property Group AB pref,manual
SE0001823303,556545-6596,Precise Biometrics AB,manual
SE0012455350,556658-0683,Björn Borg AB,manual
SE0001915190,556704-4168,Copperstone Resources AB,manual
SE0004777241,556788-8614,Sportamore AB,manual
SE0012827822,556984-0910,Acrinova AB,manual
SE0000273294,556238-4361,Medivir AB ser. B,manual
SE0010023432,556634-3185,Mertiva AB ser. A,manual
SE0013121340,556697-7426,Moberg Pharma AB,manual
SE0005095601,556484-4303,Oscar Properties Holding AB,manual
SE0003303460,556697-2211,MQ Holding AB,manual
SE0013748001,556697-2211,MQ Holding AB,manual
SE0010663302,556469-2019,Svolder AB ser. A,manual
SE0000680902,556301-2730,Moment Group AB,manual
SE0005223674,556196-1599,Retail and Brands AB,manual
SE0000412363,556309-9158,Modern Times Group MTG AB ser. A,manual
SE0001824103,556542-5070,WeSC AB,manual
SE0011204858,556939-8752,Dividend Sweden AB,manual
SE0000312043,556311-5939,Havsfrun Investment AB ser. B,manual
SE0014556718,556578-2496,WeSC AB,manual
SE0002367797,556168-6360,Hexatronic Scandinavia AB,manual
SE0004633956,556588-0936,Eniro AB pref,manual
SE0008041248,556870-4521,Oscar Properties Holding AB pref,manual
SE0000396822,556540-1493,Venue Retail Group AB ser. B,manual
SE0001174970,502072-0982,Millicom International Cellular SDB,manual
SE0007192018,50298,Vostok Emerging Finance Ltd,manual
SE0012231074,556677-7917,VNV Global Ltd SDB,manual
SE0014186532,556090-4251,Betsson B,manual
