gvkey,permno,sic,ret,exchcd,shrcd,date,ffi49,lag_me,log_me,rank_me,rank_bm,rank_mom12m,rank_mom1m,rank_beta,rank_turn,rank_roa,rank_ep,rank_cfp,rank_sp,rank_gma,rank_cinvest,rank_lev,rank_sgr,rank_ato,rank_noa,rank_roe,rank_agr,rank_bm_ia,xret
9,9,1000,-0.0693077054404736,1,10,2019-07-31,1,31004867233.4,24.269303029098012,0.88,0.09798994974874371,0.3897849462365591,0.9541984732824428,0.7894736842105263,0.4725,0.010443864229765013,0.26631853785900783,0.41578947368421054,0.24804177545691905,0.3561643835616438,0.32054794520547947,0.4973544973544973,0.3032069970845481,0.9321148825065274,0.3506849315068493,0.7753424657534247,0.2944606413994169,0.8381201044386423,-0.0693077054404736
9,9,1000,-0.0178726570003998,1,10,2019-08-30,1,34675631990.6,24.2466282544098,0.88,0.09798994974874371,0.5660377358490566,0.13819095477386933,0.8073878627968337,0.585,0.010443864229765013,0.26631853785900783,0.41952506596306066,0.2506527415143603,0.3543956043956044,0.32142857142857145,0.4960212201591512,0.2961876832844575,0.9321148825065274,0.3489010989010989,0.7802197802197802,0.28152492668621704,0.8381201044386423,-0.0178726570003998
9,9,1000,0.023303172116093,1,10,2019-09-30,1,33898217011.2,24.261636892746058,0.8787128712871287,0.10199004975124377,0.5134408602150538,0.5668316831683168,0.7901554404145078,0.5445544554455446,0.0103359173126615,0.2739018087855297,0.4162303664921466,0.24289405684754523,0.3542234332425068,0.3215258855585831,0.4921052631578947,0.30144927536231886,0.9302325581395349,0.34877384196185285,0.776566757493188,0.2898550724637681,0.8397932816537468,0.023303172116093
9,9,1000,0.0357292244978666,1,10,2019-10-31,1,34410820206.2,24.294255243943443,0.8756218905472637,0.1025,0.6970509383378016,0.600997506234414,0.7875647668393783,0.5895522388059702,0.010362694300518135,0.266839378238342,0.4120734908136483,0.24093264248704663,0.3542234332425068,0.3242506811989101,0.48548812664907653,0.30029154518950435,0.9300518134715026,0.34877384196185285,0.776566757493188,0.2886297376093295,0.8367875647668394,0.0357292244978666
9,9,1000,0.057496922124236,1,10,2019-11-29,1,35551750907.2,24.354952435570823,0.88,0.10552763819095477,0.6693989071038251,0.6030150753768844,0.7061855670103093,0.4925,0.010443864229765013,0.27676240208877284,0.41534391534391535,0.2402088772845953,0.349862258953168,0.325068870523416,0.48404255319148937,0.30678466076696165,0.9321148825065274,0.3443526170798898,0.7741046831955923,0.2920353982300885,0.8485639686684073,0.057496922124236
9,9,1000,0.101682204919778,1,10,2019-12-30,1,37776476671.2,24.450471467504173,0.8866995073891626,0.10148514851485149,0.7258064516129032,0.6144278606965174,0.7002518891687658,0.35714285714285715,0.010309278350515464,0.2809278350515464,0.3968668407310705,0.23195876288659795,0.34877384196185285,0.32697547683923706,0.48556430446194226,0.30434782608695654,0.9278350515463918,0.34332425068119893,0.779291553133515,0.2927536231884058,0.8530927835051546,0.101682204919778
10,10,1000,-0.1329479768786127,1,10,2014-12-30,1,163429134.5,18.73560705667564,0.12804878048780488,0.22935779816513763,0.5051369863013699,0.08923076923076922,0.496875,0.5853658536585366,0.31189710610932475,0.10610932475884244,0.496742671009772,0.8810289389067524,0.5016666666666667,0.5016666666666667,0.5016339869281046,0.5264084507042254,0.5884244372990354,0.5016666666666667,0.5016666666666667,0.5158450704225352,0.1382636655948553,-0.1329479768786127
10,10,1000,-0.12,1,10,2015-01-30,1,137015834.4,18.64859567968601,0.1027190332326284,0.15151515151515152,0.5035714285714286,0.07453416149068323,0.47770700636942676,0.28700906344410876,0.07210031347962383,0.034482758620689655,0.971875,0.8871473354231975,0.2347266881028939,0.6881028938906752,0.9905956112852664,0.47703180212014135,0.5172413793103449,0.27009646302250806,0.8585209003215434,0.46996466431095407,0.11285266457680251,-0.12
10,10,1000,0.0606060606060605,1,10,2015-02-27,1,125597848.2,18.7063893767023,0.11246200607902736,0.1524390243902439,0.5070175438596491,0.03951367781155015,0.40064102564102566,0.574468085106383,0.07255520504731862,0.03470031545741325,0.9716981132075472,0.8769716088328076,0.2297734627831715,0.6925566343042071,0.9873817034700315,0.4716312056737589,0.5141955835962145,0.26537216828478966,0.8640776699029126,0.46099290780141844,0.11987381703470032,0.0606060606060605
10,10,1000,-0.0642857142857142,1,10,2015-03-31,1,133070467.5,18.635664141589643,0.11144578313253012,0.16314199395770393,0.5070422535211268,0.41515151515151516,0.5333333333333333,0.16566265060240964,0.06896551724137931,0.034482758620689655,0.971875,0.8934169278996865,0.22903225806451613,0.6870967741935484,0.987460815047022,0.47017543859649125,0.5172413793103449,0.2645161290322581,0.8612903225806452,0.4631578947368421,0.11598746081504702,-0.0642857142857142
